fuel,selling_price
Petrol,410000
Petrol,1350000
Diesel,5800000
Electric,2650000
Petrol,715000
Petrol,450000
Petrol,425000
Petrol,1895000
Petrol,842000
Petrol,567000
Diesel,1197000
Diesel,2275000
Petrol,800000
Diesel,1950000
Petrol,567000
Petrol,850000
Petrol,785000
Petrol,2975000
Petrol,358000
Diesel,977000
Diesel,7200000
Petrol,450000
Petrol,350000
Petrol,400000
Diesel,2125000
Diesel,2125000
Diesel,1050000
Diesel,1950000
Petrol,720000
Petrol,675000
Petrol,775000
Petrol,330000
Petrol,500000
Petrol,360000
Petrol,524000
Petrol,524000
Diesel,1900000
Diesel,1900000
Diesel,679000
Diesel,480000
Diesel,550000
Diesel,1500000
Diesel,830000
Petrol,350000
Petrol,350000
CNG,370000
Petrol,250999
Petrol,360000
Petrol,370000
Petrol,390000
Petrol,749000
Petrol,630000
Petrol,650000
Petrol,475000
Petrol,250000
Petrol,420000
Petrol,550000
Petrol,580000
Petrol,700000
Petrol,415000
CNG,409999
CNG,399000
Petrol,600000
Petrol,600000
Petrol,654000
Petrol,730000
Petrol,445000
Petrol,445000
Petrol,570000
Petrol,600000
Petrol,600000
Petrol,578000
Diesel,810000
Diesel,925000
Petrol,737000
Petrol,265000
Petrol,1900000
Diesel,1650000
Petrol,537000
Petrol,919999
Petrol,950000
Petrol,500000
Petrol,500000
Petrol,500000
Petrol,500000
Petrol,500000
Diesel,3200000
Diesel,1560000
Diesel,2300000
Petrol,1500000
Petrol,1500000
Diesel,800000
Petrol,808000
Diesel,260000
Petrol,6223000
Petrol,5923000
Petrol,6523000
Diesel,5200000
Diesel,5200000
Diesel,5800000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5400000
Diesel,5500000
Diesel,5800000
Diesel,5400000
Diesel,5500000
Petrol,500000
Petrol,300000
Petrol,590000
Petrol,459999
Petrol,390000
Petrol,270000
Petrol,325000
Petrol,800000
Petrol,675000
Petrol,675000
Petrol,575000
Diesel,950000
Diesel,800000
Diesel,975000
Diesel,975000
Diesel,960000
Diesel,906000
Diesel,1050000
Diesel,950000
Diesel,900000
Diesel,869999
Petrol,885000
Diesel,1145000
Petrol,675000
Petrol,530000
Petrol,530000
Petrol,700000
Diesel,725000
Petrol,720000
Petrol,700000
Petrol,681000
Diesel,700000
Diesel,700000
Petrol,680000
Petrol,690000
Petrol,690000
Petrol,690000
Petrol,690000
Petrol,690000
Petrol,670000
Petrol,640000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,779000
Petrol,700000
Petrol,700000
Diesel,800000
Petrol,670000
Diesel,1100000
Diesel,1200000
Diesel,1110000
Petrol,1227000
Petrol,1227000
Petrol,1300000
Petrol,2000000
Petrol,840000
Petrol,750000
Petrol,840000
Diesel,1000000
Petrol,580000
Petrol,580000
Diesel,1050000
Diesel,950000
Diesel,990000
Diesel,1000000
Petrol,1150000
Petrol,800000
Diesel,850000
Diesel,811000
Diesel,700000
Petrol,610000
Petrol,600000
Petrol,650000
Petrol,630000
Petrol,625000
Petrol,700000
Petrol,750000
Petrol,690000
Petrol,585000
Petrol,590000
Petrol,667000
Petrol,693000
Petrol,700000
Petrol,720000
Petrol,695000
Diesel,834000
Petrol,685000
Diesel,750000
Diesel,700000
Petrol,550000
Petrol,550000
Petrol,567000
Petrol,600000
Petrol,550000
Petrol,570000
Petrol,562000
Petrol,550000
Petrol,488999
Petrol,585000
Petrol,640000
Petrol,625000
Petrol,625000
Petrol,550000
Petrol,721000
Petrol,800000
Petrol,620000
Petrol,650000
Petrol,700000
Petrol,785000
Petrol,399000
Petrol,420000
Petrol,425000
Petrol,420000
Petrol,434999
Petrol,434999
Petrol,499000
Petrol,450000
Petrol,500000
Petrol,500000
Petrol,466000
Petrol,521000
Petrol,466000
Petrol,458000
Petrol,509999
Petrol,430000
Petrol,1150000
Petrol,1125000
Petrol,1125000
Diesel,960000
Diesel,1200000
Diesel,1200000
Petrol,1270000
Petrol,990000
Petrol,1149000
Petrol,1100000
Petrol,1149000
Diesel,700000
Petrol,525000
Petrol,500000
Petrol,590000
Petrol,509999
Petrol,550000
Petrol,570000
Diesel,1900000
Diesel,2700000
Diesel,2700000
Petrol,1450000
Petrol,1450000
Petrol,2100000
Petrol,2100000
Petrol,1520000
Diesel,2150000
Diesel,1850000
Diesel,643000
Diesel,1575000
Diesel,4500000
Diesel,4500000
Diesel,4500000
Diesel,4500000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Petrol,5150000
Diesel,710000
Diesel,710000
Diesel,670000
Diesel,750000
Diesel,722000
Diesel,800000
Diesel,740000
Diesel,740000
Petrol,400000
Diesel,977000
Diesel,1000000
Diesel,1075000
Diesel,925000
Diesel,1075000
Diesel,1300000
Diesel,1460000
Diesel,1460000
Diesel,1460000
Diesel,1450000
Diesel,1450000
Diesel,1000000
Diesel,1300000
Diesel,975000
Diesel,950000
Diesel,974000
Diesel,890000
Diesel,875000
Diesel,950000
Petrol,960000
Petrol,1090000
Petrol,1000000
Petrol,1090000
Petrol,1132000
Diesel,1200000
Diesel,1200000
Diesel,1200000
Diesel,1225000
Diesel,1800000
Diesel,1650000
Diesel,1550000
Diesel,1700000
Diesel,1575000
CNG,330000
CNG,330000
CNG,430000
Petrol,360000
Petrol,360000
Petrol,350000
Petrol,380000
Petrol,366000
Petrol,366000
Petrol,399000
Petrol,760000
Petrol,711000
Petrol,650000
Petrol,579000
Petrol,685000
Petrol,600000
Petrol,780000
Petrol,556000
Petrol,500000
Petrol,675000
Petrol,675000
Petrol,660000
Petrol,484999
Petrol,470000
Petrol,500000
Petrol,480000
Petrol,490000
Diesel,1025000
Diesel,1025000
Petrol,1025000
Petrol,409999
Petrol,420000
Petrol,400000
Petrol,395000
Petrol,359000
CNG,450000
CNG,450000
CNG,362000
Diesel,925000
Diesel,1050000
Diesel,1200000
Petrol,750000
Petrol,525000
Petrol,525000
Petrol,570000
Petrol,570000
Petrol,500000
Petrol,500000
Petrol,500000
Petrol,577000
Diesel,900000
Diesel,930000
Petrol,475000
Petrol,475000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,650000
Petrol,610000
Petrol,600000
Diesel,740000
Petrol,650000
Petrol,700000
Petrol,650000
Diesel,825000
Petrol,600000
Petrol,650000
Petrol,600000
Petrol,700000
Petrol,750000
Petrol,750000
Diesel,558000
Diesel,700000
Diesel,757000
Diesel,750000
Diesel,694000
Diesel,700000
Diesel,675000
Diesel,754000
Diesel,770000
Diesel,800000
Petrol,675000
Petrol,655000
Petrol,675000
Petrol,675000
Petrol,675000
Diesel,802999
Diesel,900000
Petrol,500000
Petrol,509999
Petrol,500000
Diesel,630000
Diesel,690000
Petrol,615000
Petrol,585000
Petrol,610000
Petrol,630000
Petrol,600000
Petrol,550000
Petrol,550000
Petrol,595000
Petrol,610000
Diesel,860000
Diesel,860000
Diesel,892000
Diesel,890000
Diesel,980000
Diesel,900000
Diesel,1025000
CNG,459999
Petrol,480000
Petrol,490000
Petrol,490000
Petrol,540000
Petrol,1040000
Petrol,1000000
Petrol,1000000
Petrol,5200000
Petrol,5200000
Petrol,1750000
Petrol,1700000
Petrol,860000
Petrol,860000
Petrol,950000
Diesel,1200000
Petrol,220000
Petrol,390000
Petrol,420000
Petrol,300000
Petrol,300000
Petrol,380000
Petrol,310000
Petrol,320000
Petrol,325000
Petrol,290000
Petrol,395000
Petrol,350000
Petrol,290000
Petrol,580000
Petrol,600000
Petrol,600000
Petrol,786000
Petrol,675000
Petrol,650000
Petrol,675000
Petrol,700000
Petrol,700000
Diesel,2600000
Petrol,725000
Petrol,835000
Diesel,660000
Diesel,1650000
Diesel,1700000
Diesel,1630000
Diesel,1250000
Diesel,1250000
Diesel,1140000
Diesel,1250000
Petrol,346000
Petrol,409999
Petrol,459999
Petrol,500000
Petrol,550000
Petrol,525000
Diesel,670000
Petrol,450000
Petrol,450000
Petrol,550000
Petrol,520000
Petrol,490000
Petrol,450000
Petrol,550000
Petrol,520000
Petrol,600000
Petrol,530000
Petrol,650000
Diesel,900000
Diesel,650000
Petrol,620000
Petrol,800000
Petrol,700000
Petrol,894999
Petrol,894999
Diesel,1925000
Diesel,1925000
Petrol,550000
Petrol,480000
Petrol,500000
Petrol,640000
Diesel,800000
Petrol,565000
